ACC AP [g]	GYR AP [deg/s]	ACC ML [g] ACC AP [g]	ACC ML [g] GYR ML [deg/s]	ACC ML [g] GYR SI [deg/s]	ACC AP [g]^2	ACC AP [g] ACC SI [g]	ACC AP [g] GYR ML [deg/s]	ACC AP [g] GYR AP [deg/s]	ACC AP [g] GYR SI [deg/s]	ACC SI [g] GYR ML [deg/s]	ACC SI [g] GYR AP [deg/s]	GYR ML [deg/s]^2	GYR ML [deg/s] GYR AP [deg/s]	GYR AP [deg/s]^2	GYR AP [deg/s] GYR SI [deg/s]	label
-0.4943343944010397	5.339656209509074	0.746073436477637	-27.258228938512133	13.646250065045976	0.24436649348784267	-0.025411223323083907	-8.928072624916071	-2.639575718637419	4.469648850382954	0.9284138920941764	0.2744846362000204	326.1923500970535	96.43844120606633	28.51192843574881	-48.2798456036832	1
-1.183415817722261	38.4058953208659	265.3957416396258	1209.4468203989802	10708.810897453437	1.4004729976352475	-0.2808757073769896	6.38215821994817	-45.45014401649807	56.50957474302739	-1.2799912655557615	9.115378427556664	29.084419059296007	-207.12288685502378	1475.0127953973094	-1833.9291901510746	0
-0.6423897789050117	36.77494417390079	-1.175088830805879	37.69280044045792	-27.79112054545611	0.4126646280416298	-0.08315584533958138	-13.236859261900774	-23.62384825711628	9.75961316463682	2.667352970832733	4.760429992066887	424.5928320798374	757.7716464043585	1352.3965189935197	-558.7094332356386	1
-2.425921358947583	270.6535325955522	-5.546195367691332	-22.069756245579857	-53.596555846952675	5.885094439798087	-0.27895080268056216	23.418323942422948	-656.5841855981658	56.87156183582593	-1.1100179152599008	31.121792092474124	93.18761183568628	-2612.719525761313	73253.33470645163	-6345.007458020102	1
-2.1142324599041165	35.65412908607847	-28.442265152868785	-75.67536583619656	557.9313609103534	4.469978894512211	-1.3767467326990743	11.893120548036599	-75.38111704339859	-87.6843456191536	-3.66306312457263	23.217269934790295	31.643620631807426	-200.56396980832466	1271.2169208867467	1478.6968967808793	1
-1.1114485035182546	5.199451846788824	3.3649877292946053	77.4185195930415	103.38131858466188	1.2353177759729677	-0.14905745497134268	28.421046712953007	-5.778922974228664	37.952227712262314	-3.4293758035803767	0.6973036151248555	653.8851071123362	-132.95610489515394	27.03429950707571	-177.543790687223	0
-0.7576172395325838	5.439290511532734	0.9640817007130681	-22.840347544442714	34.82071165686352	0.5739838816369723	-0.05692916499652691	-13.598423589826586	-4.120900262363206	20.731155070556337	1.3487258527714654	0.4087212524178214	322.1643151389166	97.62947903558829	29.58588126885003	-148.83871325045408	1
-2.664860522942131	5.638458649315559	-16.513874297741925	108.82182126721929	-73.44331567245041	7.101481606735407	-0.17011165155631228	-46.79678119181739	-15.02570586480264	31.582919064418792	1.1209882918670258	0.35993160047568923	308.37772329618986	99.01520676204647	31.792215940041434	-66.82487943976814	1
-2.0873674435733065	58.67003844523296	66.81291576032122	152.10022518963402	-2260.919475046043	4.357102844489761	-1.4211523341575747	9.918985218346972	-122.46592816377354	-147.44243031129238	-3.2352665288484923	39.944602153429756	22.580662259604583	-278.794826416328	3442.1734111651135	4144.192763691684	1
-0.8221769551254957	41.59796646982007	-1.360962177205969	9.599733835262404	-32.17307797827728	0.6759749455394314	-0.07319323436784683	-4.768082217983978	-34.200889411569136	15.980013991902785	0.5162785419325969	3.7032048758732703	33.63232348694918	241.2406757360016	1730.390814424275	-808.50731959638	0
-1.3244573683081762	52.205127350495154	-2.2797952508377186	-46.70194842352157	1387.152117239347	1.7541873204658198	-0.3556030099049931	35.9347909578665	-69.14346558283	-1067.3435058365199	-7.284581113909064	14.01653300628548	736.1295946676094	-1416.414286452395	2725.375321681417	42070.66605707034	1
-0.872007657674828	15.722087957673825	-5.128741259565035	-44.420823638154374	-996.2694059420512	0.76039735504354	-0.16399985362091798	6.585919447644898	-13.709781093728772	147.7088788162776	-1.4204281724665846	2.956877845028281	57.0416699679126	-118.74254076406223	247.1840497488323	-2663.1554946102137	1
-2.7965580281192217	8.481023675610881	17.58112223982935	68.96152973509354	215.7299456417461	7.82073680463807	-1.5495133641197325	30.676652283410977	-23.7176748466988	95.96470024653841	-6.0779289556719975	4.699154959288646	120.32843181210399	-93.03200995227111	71.92776258627231	-291.0287884715034	1
-1.2255449678351182	229.18951451923215	12.190719478120895	64.4004477422733	477.6812278415349	1.501960468185981	-0.1760651150591604	7.934472351362916	-280.8820561996187	58.852828325692606	-0.9301068949994872	32.92598746128638	41.91578462153441	-1483.8279409587467	52527.83356556133	-11006.084236856746	1
-1.2849921712595964	45.47261104986944	15.074867004091999	28.477157618850107	611.3625332982947	1.651204880198452	-0.384813767440747	3.119206399742169	-58.43194920581485	66.96475652346473	-0.7269319395215279	13.617582398432315	5.892332732824262	-110.38079653100452	2067.7583556927084	-2369.7127465421345	0
-1.6267891153737737	57.7050439452419	-8.650214158269938	-46.168592174612606	1134.3913141911491	2.646442825898585	-0.8498307443135584	14.1247993756929	-93.8739373922848	-347.0551942731626	-4.535782390329554	30.144976987606732	75.3879719036938	-501.0312406133919	3329.8720967222985	12310.652344361128	0
-0.6364787362118487	42.01196451671936	-1.3206554392043808	-23.621268774657896	190.29438115084835	0.40510518164983206	-0.09572411648535546	7.245719128315654	-26.73972208137857	-58.37195498130735	-1.7121234022096183	6.31844860853059	129.5970727222643	-478.26718725697026	1765.0051625540866	3852.949614690634	1
